participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
6,13,6.0,2.4452083333333334,15.819943087963017,451
6,15,6.0,2.3077083333333337,15.664229646504554,450
6,16,3.0,4.490833333333334,15.801039567234177,450
6,17,5.0,2.904166666666667,16.233392649032723,428
6,21,5.0,2.5179166666666664,15.462905113407054,451
6,25,3.0,2.0533333333333332,15.406674238514585,435
6,31,6.0,3.65625,15.684097727076443,871
6,37,5.0,7.707708333333334,16.819706501868307,897
6,39,8.0,3.906041666666667,16.1021708818018,898
6,41,4.0,4.204166666666667,15.88047149976919,894
6,46,5.0,5.430416666666667,16.155380535021536,897
6,48,8.0,4.109791666666666,15.983985341480194,879
6,53,5.0,13.882916666666667,16.857869662423536,898
6,63,4.0,8.231666666666666,16.160092417420007,900
6,66,9.0,5.9279166666666665,16.174689224699254,855
6,68,2.0,6.47125,16.021475481286725,901
6,70,1.0,4.400625,16.05555106041291,900
6,72,6.0,4.190833333333333,15.76159860289222,870
6,75,3.0,10.784166666666668,16.592508475914993,899
6,76,5.0,17.77875,17.44323034131905,865
6,77,3.0,6.663125,16.745245644150174,896
6,83,6.0,9.1425,16.692442323370777,871
6,85,7.0,5.155208333333333,16.22515459927732,900
6,86,3.0,6.731458333333333,16.10183873289863,896
6,87,4.0,3.294791666666667,16.855574699383276,899
6,88,5.0,3.9170833333333337,15.96003213173253,897
6,89,5.0,5.441666666666666,16.46906977665397,898
6,91,8.0,5.449791666666667,16.61771087186061,900
6,96,4.0,4.135,16.087466360814773,897
6,98,7.0,1.8764583333333333,14.91103371687454,899
6,101,4.0,4.951666666666667,15.707285642364024,899
6,106,6.0,11.852500000000001,16.80190272937264,899
6,121,5.0,7.9025,16.012905650456077,899
6,123,5.0,6.392708333333333,16.20477334161629,857
6,125,5.0,1.7220833333333334,14.967047392501213,901
6,127,6.0,3.03625,15.252508025409927,878
6,128,2.0,5.274791666666666,15.83219532938602,898
6,135,7.0,5.237916666666666,16.60343746341743,900
6,137,5.0,7.334375,16.115643354184506,899
6,141,4.0,3.9725,15.962183610222608,898
6,142,3.0,9.443125,16.175898354160402,897
6,144,5.0,2.3247916666666666,15.762588929428706,898
6,147,4.0,4.551041666666666,15.94228088126182,862
7,2,5.0,8.830833333333334,16.8385198613683,434
7,3,8.0,2.56625,15.962399509879798,451
7,4,7.0,4.265208333333334,16.05275527054493,450
7,5,3.0,7.448541666666666,16.4209494703617,450
7,6,3.0,5.686875000000001,16.474496496743672,450
7,7,3.0,5.921875,15.87551518235861,451
7,8,8.0,12.15125,16.622310465571072,451
7,9,2.0,5.8722916666666665,16.506388547383985,451
7,10,5.0,6.314166666666667,15.649884466512493,450
7,12,5.0,5.476875,15.761067134676608,450
7,21,4.0,5.079791666666667,15.963225375112144,450
7,26,4.0,7.628333333333333,16.196780406987354,442
7,27,8.0,3.998541666666667,15.896991520900963,451
7,28,7.0,6.281875,16.47977905343225,451
7,32,6.0,11.241041666666666,16.664122292678446,450
7,47,5.0,5.211041666666667,16.094763812621597,450
7,50,8.0,1.7425,16.0014562721904,442
7,54,3.0,6.825208333333334,16.0364780211019,450
7,56,5.0,7.062916666666667,16.42119047971483,451
7,57,2.0,4.817916666666667,16.32435278076942,450
7,60,5.0,7.4675,16.22612959866114,450
7,61,8.0,6.115833333333334,15.86742748140379,451
